distribution,n.trees,interaction.depth,shrinkage,bag.fraction,train_AUC,test_AUC,diff_AUC,k,model
gaussian,20,3,0.05,0.6,0.8552932019901397,0.6840535461595064,0.17123965583063328,5,BRT
gaussian,10,4,0.08,0.6,0.8538791502489976,0.6682650213195326,0.18561412892946505,10,BRT
gaussian,40,6,0.05,0.5,0.9423188782567342,0.7139575163398693,0.22836136191686496,15,BRT
gaussian,50,5,0.08,0.6,0.9611864315655952,0.6689218824087245,0.2922645491568707,20,BRT
gaussian,20,5,0.08,0.5,0.9077351880288779,0.7272652329749104,0.18046995505396746,25,BRT
gaussian,80,4,0.03,0.5,0.9225760333607318,0.6941581196581197,0.2284179137026121,30,BRT
gaussian,20,6,0.04,0.5,0.9042436262868735,0.6715831787260359,0.2326604475608376,35,BRT
gaussian,10,6,0.09,0.5,0.8734755797664825,0.7141812865497076,0.1592942932167749,40,BRT
gaussian,50,6,0.06999999999999999,0.6,0.957033960628464,0.6699346405228758,0.28709932010558825,45,BRT
gaussian,90,3,0.09999999999999999,0.5,0.9458447406524941,0.68275,0.26309474065249416,50,BRT
